route_id,service_id,trip_id,block_id,direction_id
104,WE_merged_67040,64575,b_104 -  4,1
104,WE_merged_67040,64574,b_104 -  1,1
041,MR_merged_67039,53267,b_041 -  1,0
104,WE_merged_67040,64579,b_104 -  4,1
104,WE_merged_67040,64578,b_104 -  2,1
013,MR_merged_67039,53892,b_013 -  1,0
020,MR_merged_67039,53893,b_020 -  2,0
006,MR_merged_67039,53890,b_006 -  7,0
004,MR_merged_67039,53896,b_004 -  1,0
003,MR_merged_67039,53897,b_008 -  1,0
009,MR_merged_67039,53894,b_009 -  3,0
002,MR_merged_67034,36348,a_002 -  5,1
015,MR_merged_67034,36347,a_015 - 24,1
002,MR_merged_67034,36346,a_002 -  4,1
015,MR_merged_67034,36345,a_057 -  6,1
002,MR_merged_67034,36344,a_002 -  5,1
015,MR_merged_67034,36343,a_015 -  9,1
013,FR_merged_67038,56967,b_013 -  1,1
002,MR_merged_67034,36341,a_002 -  4,1
015,MR_merged_67034,36340,a_015 -  7,1
004,SU_merged_67037,42371,a_004 -  1,0
002,SU_merged_67037,42370,a_002 -  1,0
001,SU_merged_67037,42373,a_001 -  2,0
008,SU_merged_67037,42372,a_008 -  2,0
006,SU_merged_67037,42375,a_006 -  1,0
003,SU_merged_67037,42374,a_003 -  1,0
960,SU_merged_67037,42377,a_960 -  1,0
013,SU_merged_67037,42376,a_013 -  1,0
011,SU_merged_67037,42379,a_011 -  1,0
045,SU_merged_67037,42378,a_045 -  1,0
026,FR_merged_67038,62234,b_026 -  2,1
003,MR_merged_67039,53749,b_003 -  2,0
058,FR_merged_67038,56966,b_058 -  1,1
800,MR_merged_67039,33009_merged_68077,b_800W-  4,0
015,MR_merged_67039,54129,b_015 - 13,0
800,FR_merged_67038,33458_merged_68249,b_800F-  4,0
006,MR_merged_67039,53099,b_006 -  3,1
118,WE_merged_67040,64150,b_118 -  2,0
800,SA_merged_67041,33909_merged_68168,b_800S-  5,1
006,MR_merged_67039,53093,b_006 -  2,1
006,MR_merged_67039,53096,b_006 -  1,1
006,MR_merged_67039,53097,b_006 -  6,1
006,MR_merged_67039,53094,b_006 -  3,1
006,MR_merged_67039,53095,b_006 -  3,1
001,FR_merged_67038,56473,b_001 - 13,0
023,SU_merged_67037,42199,a_023 -  3,0
016,SU_merged_67037,42198,a_016 -  1,0
112,SU_merged_67042,66981,b_112 -  1,1
023,SU_merged_67037,42195,a_023 -  2,0
017,SU_merged_67037,42194,a_017 -  3,1
017,SU_merged_67037,42197,a_017 -  2,1
017,SU_merged_67037,42196,a_017 -  4,1
016,SU_merged_67037,42191,a_016 -  1,0
023,SU_merged_67037,42190,a_023 -  3,0
016,SU_merged_67037,42193,a_016 -  1,0
023,SU_merged_67037,42192,a_023 -  1,0
104,SA_merged_67041,65846,b_104 -  2,1
058,FR_merged_67038,56960,b_058 -  1,1
020,FR_merged_67038,56472,b_020 -  4,0
016,MR_merged_67039,53540,b_016 -  2,0
017,MR_merged_67039,53541,b_017 -  6,1
043,MR_merged_67039,53234,b_043 -  1,0
017,MR_merged_67039,53543,b_017 -  7,1
023,MR_merged_67039,53544,b_023 -  2,0
017,MR_merged_67039,53545,b_017 -  8,1
047,MR_merged_67039,53230,b_047 -  2,0
017,MR_merged_67039,53547,b_017 -  6,1
023,MR_merged_67039,53548,b_023 -  3,0
001,SU_merged_67042,60581,b_001 -  2,1
118,SU_merged_67042,66987,b_118 -  1,1
047,MR_merged_67039,53238,b_047 -  4,0
050,MR_merged_67039,53239,b_050 -  1,0
023,MR_merged_67039,53520,b_023 -  6,0
090,WE_merged_67040,10_merged_68129,b_090 -  1,0
003,MR_merged_67039,54303,b_003 -  5,1
013,FR_merged_67038,56471,b_013 -  1,0
003,MR_merged_67039,54302,b_003 -  4,1
102,WE_merged_67040,64628,b_102 -  1,1
800,MR_merged_67039,33022_merged_68187,b_800W-  5,0
006,SA_merged_67041,59178,b_006 -  1,0
800,FR_merged_67038,33448_merged_67920,b_800F-  7,0
112,SA_merged_67036,45341,a_112 -  4,1
112,SA_merged_67036,45340,a_112 -  3,1
112,SA_merged_67036,45343,a_112 -  1,1
112,SA_merged_67036,45342,a_112 -  2,1
112,SA_merged_67036,45345,a_112 -  4,1
112,SA_merged_67036,45344,a_112 -  3,1
112,SA_merged_67036,45347,a_112 -  1,1
112,SA_merged_67036,45346,a_112 -  2,1
112,SA_merged_67036,45349,a_112 -  4,1
112,SA_merged_67036,45348,a_112 -  3,1
013,FR_merged_67038,56535,b_013 -  1,0
114,SA_merged_67036,44566,a_114 -  4,1
090,WE_merged_67035,35_merged_67182,a_090 -  1,0
114,SA_merged_67036,44564,a_114 -  2,1
114,SA_merged_67036,44565,a_114 -  3,1
114,SA_merged_67036,44562,a_114 -  4,1
114,SA_merged_67036,44563,a_114 -  1,1
114,SA_merged_67036,44560,a_114 -  2,1
114,SA_merged_67036,44561,a_114 -  3,1
017,SA_merged_67041,58918,b_017 -  2,1
017,FR_merged_67038,55893,b_017 -  7,0
012,SA_merged_67036,40041,a_012 -  1,0
058,SA_merged_67036,40040,a_058 -  1,0
058,SA_merged_67036,40043,a_058 -  1,0
114,SA_merged_67036,44569,a_114 -  3,1
008,FR_merged_67038,56477,b_008 -  7,0
033,FR_merged_67038,62211,b_033 -  4,1
023,SA_merged_67041,58919,b_023 -  4,0
003,FR_merged_67038,56363,b_003 -  5,0
800,FR_merged_67033,33565_merged_67440,a_800F-  3,1
033,FR_merged_67038,62212,b_033 -  5,1
800,SU_merged_67037,34332_merged_67457,a_800U-  5,0
002,FR_merged_67038,56362,b_002 -  3,0
033,FR_merged_67038,62213,b_033 -  4,1
800,FR_merged_67038,33408_merged_67961,b_800F-  2,0
033,FR_merged_67038,62214,b_033 -  3,1
033,FR_merged_67038,62215,b_033 -  3,1
047,SA_merged_67036,40269,a_047 -  2,0
047,SA_merged_67036,40268,a_057 -  6,0
045,SA_merged_67036,40599,a_045 -  4,0
008,SA_merged_67036,40598,a_008 -  3,0
033,FR_merged_67038,62216,b_033 -  6,1
023,FR_merged_67038,56014,b_023 -  3,0
050,SA_merged_67036,40261,a_050 -  1,0
047,SA_merged_67036,40260,a_047 -  2,0
047,SA_merged_67036,40263,a_047 -  1,0
043,SA_merged_67036,40262,a_043 -  2,0
050,SA_merged_67036,40265,a_050 -  1,0
047,SA_merged_67036,40264,a_047 -  2,0
017,SA_merged_67036,40595,a_017 -  1,1
013,SA_merged_67036,40594,a_013 -  2,0
004,SA_merged_67041,58570,b_016 -  1,1
006,MR_merged_67039,54012,b_006 -  4,0
016,SA_merged_67041,58572,b_016 -  1,1
045,MR_merged_67039,54010,b_045 -  3,0
013,MR_merged_67039,54017,b_013 -  1,0
016,SA_merged_67041,58575,b_016 -  1,1
009,MR_merged_67039,54015,b_009 -  3,0
020,MR_merged_67039,54014,b_020 -  2,0
004,SA_merged_67041,58578,b_016 -  1,1
016,SA_merged_67041,58579,b_004 -  2,1
045,MR_merged_67039,54019,b_057 -  3,0
001,MR_merged_67039,54018,b_001 - 13,0
023,FR_merged_67038,56010,b_023 -  5,0
105,SU_merged_67042,66504,b_105 -  2,0
102,SU_merged_67037,45961,a_102 -  1,0
016,FR_merged_67033,38018,a_016 -  2,0
103,SU_merged_67037,45963,a_103 -  2,0
016,FR_merged_67033,38015,a_016 -  1,0
023,FR_merged_67033,38014,a_023 -  2,0
017,FR_merged_67033,38017,a_017 -  3,1
023,FR_merged_67033,38016,a_023 -  1,0
043,FR_merged_67033,38010,a_043 -  1,1
016,FR_merged_67033,38013,a_016 -  2,0
023,FR_merged_67033,38012,a_023 -  5,0
009,FR_merged_67038,56474,b_009 -  3,0
800,FR_merged_67038,33535_merged_68073,b_800F-  5,1
058,MR_merged_67039,53062,b_058 -  1,0
009,MR_merged_67039,53433,b_009 -  2,1
106,SU_merged_67037,45764,a_106 -  3,0
105,SU_merged_67042,66501,b_105 -  1,0
109,SU_merged_67042,66687,b_117 -  1,0
115,SU_merged_67042,66686,b_115 -  1,0
120,SU_merged_67042,66685,b_117 -  2,0
102,SU_merged_67042,66684,b_102 -  1,0
118,SU_merged_67042,66683,b_118 -  1,0
117,SU_merged_67042,66682,b_117 -  1,0
103,SU_merged_67042,66681,b_103 -  2,0
110,SU_merged_67042,66680,b_110 -  2,0
105,SU_merged_67042,66939,b_105 -  2,1
800,SA_merged_67041,33896_merged_67797,b_800S-  2,1
058,FR_merged_67038,56954,b_058 -  1,1
105,SU_merged_67042,66503,b_105 -  1,0
101,SU_merged_67042,66689,b_101 -  1,0
103,SU_merged_67042,66688,b_103 -  1,0
800,FR_merged_67033,33514_merged_67673,a_800F-  5,1
008,SA_merged_67036,40572,a_008 -  4,0
045,SA_merged_67041,59195,b_045 -  4,0
008,SA_merged_67041,59194,b_008 -  6,0
002,SA_merged_67041,59197,b_002 -  1,0
001,SA_merged_67041,59196,b_001 -  3,0
020,SA_merged_67041,59191,b_020 - 11,0
003,SA_merged_67041,59190,b_003 -  5,0
960,SA_merged_67041,59193,b_960 -  2,0
105,SU_merged_67042,66508,b_105 -  2,0
003,SA_merged_67041,59199,b_003 -  1,0
006,SA_merged_67041,59198,b_006 -  3,0
105,SU_merged_67042,66509,b_105 -  1,0
009,MR_merged_67039,53406,b_009 -  3,1
800,FR_merged_67033,33437_merged_67594,a_800F-  5,0
006,MR_merged_67039,53804,b_006 -  4,0
120,WE_merged_67040,64264,b_120 -  3,1
090,SA_merged_67036,210_merged_67150,a_090 -  1,0
009,SA_merged_67041,59223,b_009 -  4,0
013,SA_merged_67041,59221,b_013 -  3,0
020,SA_merged_67041,59220,b_020 - 12,0
045,SA_merged_67041,59227,b_045 -  2,0
001,SA_merged_67041,59226,b_001 -  3,0
008,SA_merged_67041,59224,b_008 -  5,0
018,SA_merged_67041,59229,b_009 -  1,0
044,SA_merged_67041,59228,b_044 -  2,0
045,MR_merged_67039,54789,b_045 -  2,1
102,SA_merged_67041,65438,b_102 -  1,0
013,MR_merged_67034,35077,a_013 -  1,1
058,MR_merged_67034,35070,a_058 -  1,0
058,MR_merged_67034,35072,a_058 -  1,0
016,SA_merged_67036,40135,a_016 -  1,1
002,SU_merged_67042,60969,b_002 -  1,1
013,MR_merged_67034,35078,a_013 -  2,1
013,MR_merged_67034,35079,a_013 -  3,1
800,SA_merged_67036,33881_merged_67314,a_800S-  2,1
016,FR_merged_67038,55620,b_016 -  2,1
029,FR_merged_67038,62225,b_029 -  1,0
001,SA_merged_67036,40139,a_001 -  4,1
013,FR_merged_67038,56491,b_013 -  4,0
045,MR_merged_67039,54781,b_045 -  2,1
020,FR_merged_67038,56411,b_020 -  2,0
013,FR_merged_67038,56410,b_013 -  1,0
004,FR_merged_67038,56413,b_004 -  1,0
009,FR_merged_67038,56412,b_009 -  3,0
003,FR_merged_67038,56415,b_008 -  1,0
008,FR_merged_67038,56414,b_008 -  6,0
001,FR_merged_67038,56417,b_001 - 12,0
045,FR_merged_67038,56416,b_045 -  1,0
011,FR_merged_67038,56419,b_004 -  2,0
020,FR_merged_67038,56418,b_020 - 14,0
045,MR_merged_67039,54786,b_045 -  1,1
047,MR_merged_67034,35250,a_047 -  2,0
962,MR_merged_67034,35251,a_962 -  1,0
047,MR_merged_67034,35252,a_047 -  1,0
050,MR_merged_67034,35253,a_050 -  1,0
041,MR_merged_67034,35254,a_041 -  1,0
043,MR_merged_67034,35255,a_043 -  1,0
047,MR_merged_67034,35256,a_047 -  3,0
962,MR_merged_67034,35257,a_962 -  2,0
041,MR_merged_67034,35258,a_041 -  3,0
047,MR_merged_67034,35259,a_047 -  4,0
058,FR_merged_67033,39050,a_058 -  1,1
013,FR_merged_67033,39051,a_013 -  1,1
058,FR_merged_67033,39056,a_058 -  1,1
013,FR_merged_67033,39057,a_013 -  3,1
058,FR_merged_67033,39054,a_058 -  1,1
013,FR_merged_67033,39055,a_013 -  1,1
960,FR_merged_67038,55506,b_960 -  1,1
960,FR_merged_67038,55507,b_960 -  2,1
960,FR_merged_67038,55504,b_960 -  1,1
960,FR_merged_67038,55505,b_960 -  2,1
017,FR_merged_67038,55854,b_017 -  1,0
017,FR_merged_67038,55855,b_017 -  2,0
960,FR_merged_67038,55500,b_960 -  1,1
960,FR_merged_67038,55501,b_960 -  2,1
017,FR_merged_67038,55858,b_017 -  4,0
017,FR_merged_67038,55859,b_017 -  3,0
800,SU_merged_67037,34301_merged_67064,a_800U-  3,0
